,age,CompanyName,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
145,5,Volvo,3400000,22000,0,1,1,0,18.0,1969,190.0,400Nm,5
146,8,Audi,2650000,53000,0,1,1,0,12.07,2967,241.4,550Nm@ 1750-2750rpm,7
147,8,Maruti,535000,40000,0,1,0,0,26.21,1248,88.5,200Nm@ 1750rpm,5
148,6,Mercedes-Benz,5850000,47000,0,1,1,0,13.5,2987,282.0,490Nm@ 1600rpm,5
149,13,BMW,975000,72200,1,1,1,1,10.8,2497,150.0,250 Nm at 2750 rpm,5
150,7,Hyundai,805000,49900,1,1,0,0,16.3,1797,147.5,177.5Nm@ 4700rpm,5
151,6,Jaguar,2625000,9000,0,1,1,0,13.6,1999,177.0,430Nm@ 1750-2500rpm,5
152,5,Tata,811000,11000,1,1,0,0,17.0,1198,108.5,170Nm@ 1750-4000rpm,5
153,12,Volkswagen,375000,49000,1,0,0,0,15.04,1598,103.6,153Nm@ 3800rpm,5
154,11,Hyundai,550000,95000,1,0,0,0,16.3,1797,147.5,177.5Nm@ 4700rpm,5
155,7,Skoda,645000,11000,1,1,1,0,14.3,1598,103.5,153Nm@ 3800rpm,5
156,5,Mercedes-Benz,2550000,18000,1,1,1,0,15.04,1991,183.0,300Nm@ 1200-4000rpm,5
157,9,Maruti,599000,46100,1,1,0,0,16.02,1373,93.7,130Nm@ 4000rpm,7
158,6,Mercedes-Benz,2700000,16000,1,1,1,0,14.74,1991,181.04,300Nm@ 1200-1400rpm,5
159,6,Honda,875000,18000,1,1,1,0,15.6,1497,116.3,146Nm@ 4800rpm,5
160,4,Toyota,894999,9654,1,1,1,0,19.56,1197,81.8,113Nm@ 4200rpm,5
161,12,Maruti,175000,11000,1,1,0,0,23.95,998,67.05,90Nm@ 3500rpm,5
162,11,Maruti,340000,24300,1,1,0,0,21.21,1197,81.8,113Nm@ 4200rpm,5
163,7,Toyota,1525000,42163,0,1,1,1,11.36,2755,171.5,360Nm@ 1200-3400rpm,7
164,5,Tata,1025000,8000,0,1,1,0,21.5,1497,108.5,260Nm@ 1500-2750rpm,5
165,7,BMW,2150000,30000,0,1,1,0,22.69,1995,190.0,400Nm@ 1750-2500rpm,5
166,7,Toyota,1900000,41000,1,1,1,0,19.16,2494,157.7,213Nm@ 4500rpm,5
167,7,BMW,2900000,12000,0,1,1,0,18.12,1995,190.0,400Nm@ 1750-2500rpm,5
168,14,Toyota,450000,71000,1,1,1,0,12.1,2362,164.7,224Nm@ 4000rpm,5
169,7,Maruti,850000,20000,1,0,0,0,17.5,1373,91.1,130Nm@ 4000rpm,7
170,6,Volvo,10000000,30000,1,0,1,0,42.0,1969,400.0,640Nm@ 1740rpm,4
171,12,Volkswagen,300000,100000,0,0,0,1,20.54,1598,103.6,250Nm@ 1500-2500rpm,5
172,5,Ford,575000,9500,1,0,0,0,18.16,1196,86.8,112Nm@ 4000rpm,5
173,12,Ford,160000,120000,0,0,0,0,20.0,1399,68.0,160Nm@ 2000rpm,5
174,8,Maruti,515000,36600,1,0,0,0,20.4,1197,81.8,113Nm@ 4200rpm,5
175,8,Maruti,390000,50000,1,0,1,1,20.51,998,67.0,90Nm@ 3500rpm,5
176,7,Hyundai,550000,14000,1,0,0,1,18.6,1197,81.83,114.7Nm@ 4000rpm,5
177,24,Maruti,40000,40000,1,0,0,1,16.1,796,37.0,59Nm@ 2500rpm,4
178,13,Maruti,220000,120000,0,0,0,0,21.1,1248,73.9,113Nm@ 4500rpm,5
179,8,Hyundai,425000,70000,1,0,0,0,18.9,1197,82.0,114Nm@ 4000rpm,5
180,4,Volkswagen,480000,13000,1,0,0,0,19.44,999,75.0,95Nm@ 3000-4300rpm,5
181,9,Hyundai,400000,60000,1,0,0,1,18.9,1197,82.0,114Nm@ 4000rpm,5
182,9,Maruti,487000,35000,1,0,0,0,19.1,1197,85.8,114Nm@ 4000rpm,5
183,7,Hyundai,386000,44000,1,0,0,1,19.1,1197,82.0,114Nm@ 4000rpm,5
184,18,Honda,100000,120000,1,0,0,1,13.0,1493,100.0,13.1kgm@ 4600rpm,5
185,13,Toyota,300000,60000,0,0,0,0,21.43,1364,87.2,205Nm@ 1800-2800rpm,5
186,23,Daewoo,100000,60000,1,0,0,0,18.5,796,53.0,71Nm@ 3500rpm,5
187,9,Toyota,1750000,30000,0,0,0,1,13.0,2982,168.5,343Nm@ 1400-3400rpm,7
188,7,Mahindra,450000,15000,1,0,0,1,18.15,1198,82.0,115Nm@ 3500-3600rpm,6
189,6,Tata,490000,90000,0,0,0,0,22.95,1248,74.0,190Nm@ 1750-3000rpm,5
190,14,Honda,345000,47000,1,0,0,1,17.0,1497,118.0,146Nm at 4800 rpm,5
191,18,Maruti,85000,90000,1,0,0,0,17.3,993,60.0,78Nm@ 4500rpm,5
192,13,Maruti,215000,120600,1,0,0,1,18.9,998,67.1,90Nm@ 3500rpm,5
193,13,Hyundai,320000,100000,1,0,0,2,16.2,1599,103.2,14.9 KGM at 3000 RPM,5
194,7,Maruti,459999,60000,1,0,0,1,20.85,1197,83.14,115Nm@ 4000rpm,5
195,18,Hyundai,65000,86000,1,0,0,0,15.3,1341,83.0,115Nm@ 3200rpm,5
196,3,Hyundai,720000,5000,1,0,0,0,18.6,1197,81.86,117nm@ 4000rpm,5
197,6,Maruti,800000,37000,0,0,0,0,28.09,1248,88.5,200Nm@ 1750rpm,5
198,4,Tata,520000,14000,1,0,0,0,20.3,1199,84.0,114Nm@ 3500rpm,5
199,8,Maruti,580000,70000,0,0,0,0,20.77,1248,88.76,200Nm@ 1750rpm,7
201,8,Honda,600000,50000,1,0,0,0,17.4,1497,117.3,145Nm@ 4600rpm,5
202,9,Honda,290000,60000,1,0,0,1,19.4,1198,86.8,109Nm@ 4500rpm,5
203,7,Maruti,360000,50000,2,0,0,0,26.6,998,58.16,77Nm@ 3500rpm,5
204,6,Maruti,550000,50000,1,0,0,0,20.85,1197,83.14,115Nm@ 4000rpm,5
205,10,Hyundai,375000,70000,1,0,0,0,18.5,1197,82.85,113.7Nm@ 4000rpm,5
207,5,Maruti,420000,35000,1,0,1,0,20.51,998,67.0,90Nm@ 3500rpm,5
208,6,Maruti,550000,20000,1,0,0,0,21.21,1197,81.8,113Nm@ 4200rpm,5
209,5,Maruti,270000,20000,1,0,0,0,24.7,796,47.3,69Nm@ 3500rpm,5
210,5,Maruti,700000,7800,1,0,1,0,22.0,1197,81.8,113Nm@ 4200rpm,5
211,6,Maruti,500000,20000,1,0,0,0,20.4,1197,81.8,113Nm@ 4200rpm,5
212,4,Tata,1250000,15000,0,0,0,0,17.6,2179,147.94,320Nm@ 1500-3000rpm,7
213,10,Hyundai,320000,31377,1,0,0,1,18.5,1197,82.85,113.7Nm@ 4000rpm,5
214,5,Maruti,700000,50000,0,0,0,0,28.4,1248,74.02,190Nm@ 2000rpm,5
215,8,Maruti,290000,60000,1,0,0,0,20.51,998,67.04,90Nm@ 3500rpm,5
216,11,Toyota,550000,100000,1,0,1,0,14.53,1794,138.1,173Nm@ 4000rpm,5
217,11,Honda,265000,60000,1,0,0,0,19.4,1198,86.8,109Nm@ 4500rpm,5
218,5,Maruti,830000,5000,1,0,1,0,21.4,1197,83.1,115Nm@ 4000rpm,5
219,6,Tata,800000,60000,0,0,0,0,14.1,2179,147.94,320Nm@ 1500-3000rpm,7
220,12,Maruti,160000,25000,1,0,0,1,19.7,796,46.3,62Nm@ 3000rpm,5
221,5,Renault,335000,30000,1,0,0,0,25.17,799,53.3,72Nm@ 4386rpm,5
222,6,Datsun,329000,80000,1,0,0,1,20.63,1198,67.0,104Nm@ 4000rpm,5
223,6,Maruti,775000,75000,0,0,0,0,24.3,1248,88.5,200Nm@ 1750rpm,5
224,3,Hyundai,524000,32000,1,0,0,0,20.14,1197,81.86,113.75nm@ 4000rpm,5
225,8,Maruti,245000,40000,1,0,0,0,22.74,796,47.3,69Nm@ 3500rpm,5
226,11,Hyundai,275000,93000,1,0,0,1,17.0,1197,80.0,"11.4 kgm at 4,000 rpm",5
227,5,Tata,520000,60000,1,0,0,0,17.57,1193,88.7,140Nm@ 1500-4000rpm,5
229,9,Nissan,550000,37000,1,0,0,0,16.95,1498,97.7,134Nm@ 4000rpm,5
230,5,Ford,910000,15000,1,0,0,0,17.0,1497,121.36,150Nm@ 4500rpm,5
231,8,Nissan,300000,80000,1,0,0,0,19.49,1198,67.04,104Nm@ 4000rpm,5
232,7,Maruti,350000,140000,1,0,0,0,20.51,998,67.04,90Nm@ 3500rpm,5
233,10,Mahindra,900000,70000,0,0,0,0,12.83,2696,162.0,340Nm@ 1800-3250rpm,7
234,10,Mahindra,300000,120000,0,0,0,1,17.21,1493,100.0,240Nm@ 1600-2800rpm,7
235,13,Maruti,250000,110000,0,0,0,1,21.1,1248,73.9,190Nm@ 2000rpm,5
236,6,Hyundai,1100000,37000,0,0,0,0,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5
237,7,Renault,270000,44000,1,0,0,0,25.17,799,53.3,72Nm@ 4386rpm,5
238,8,Maruti,640000,80000,0,0,0,0,20.77,1248,88.76,200Nm@ 1750rpm,7
239,8,Mahindra,650000,125000,0,0,0,0,15.1,2179,140.0,330Nm@ 1600-2800rpm,7
240,6,Maruti,409999,13500,1,0,0,0,15.37,1196,73.0,101Nm@ 3000rpm,5
241,12,Hyundai,165000,75000,1,0,0,0,17.92,1086,62.1,96.1Nm@ 3000rpm,5
242,16,Hyundai,80000,120000,1,0,0,1,13.2,1495,94.0,"12.5@ 3,500(kgm@ rpm)",5
243,11,Mahindra,535000,120000,0,0,0,0,15.1,2179,140.0,330Nm@ 1600-2800rpm,7
244,10,Toyota,700000,70000,0,0,0,0,12.99,2494,100.57,200Nm@ 1400-3400rpm,7
245,10,Maruti,550000,70000,0,0,0,0,23.4,1248,74.0,190Nm@ 2000rpm,5
246,4,Honda,680000,15000,1,0,1,0,19.0,1199,88.76,110Nm@ 4800rpm,5
247,14,Hyundai,200000,53000,1,0,0,1,20.36,1197,78.9,111.8Nm@ 4000rpm,5
248,9,Maruti,500000,120000,0,0,0,1,23.4,1248,74.0,190Nm@ 2000rpm,5
249,7,Maruti,1000000,70000,0,0,0,0,24.52,1248,88.5,200Nm@ 1750rpm,7
250,15,Hyundai,110000,120000,1,0,0,1,14.2,1341,82.9,"11.8@ 3,200(kgm@ rpm)",5
251,11,Hyundai,320000,100000,1,0,0,1,18.5,1197,80.0,"11.4 kgm at 4,000 rpm",5
253,8,Maruti,350000,100000,1,0,0,0,20.4,1197,83.11,113Nm@ 4200rpm,5
254,10,Tata,170000,162500,0,0,0,0,19.4,1405,70.0,135.4Nm@ 2500rpm,5
255,6,Hyundai,800000,39000,0,0,0,0,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
256,6,Maruti,500000,75000,0,0,0,0,26.8,1248,74.0,190Nm@ 2000rpm,5
257,6,Tata,1380000,50000,0,0,1,0,17.6,2179,153.86,400Nm@ 1750-2500rpm,7
258,4,Mahindra,1300000,40000,0,0,0,0,17.3,1497,121.0,300Nm@ 1750-2500rpm,8
259,10,Hyundai,530000,92500,0,0,0,0,22.32,1582,126.3,259.9Nm@ 1900-2750rpm,5
260,11,Maruti,360000,158000,0,0,0,0,23.4,1248,74.0,190Nm@ 2000rpm,5
261,11,Maruti,310000,120000,0,0,0,0,19.3,1248,73.9,190Nm@ 2000rpm,5
262,8,Honda,725000,50000,0,0,0,1,26.0,1498,98.6,200Nm@ 1750rpm,5
263,11,Maruti,340000,110000,0,0,0,0,19.3,1248,73.9,190Nm@ 2000rpm,5
264,6,Hyundai,550000,2000,0,0,0,1,25.4,1186,73.97,190.25nm@ 1750-2250rpm,5
265,12,Toyota,1150000,181000,0,0,0,1,11.5,2982,171.0,343Nm@ 1400-3400rpm,7
266,7,Tata,380000,70000,0,0,0,0,27.28,1047,69.0,140Nm@ 1800-3000rpm,5
267,10,Nissan,350000,90000,1,0,1,1,17.97,1498,99.6,134Nm@ 4000rpm,5
268,4,Hyundai,610000,2000,1,0,0,0,18.6,1197,81.86,117nm@ 4000rpm,5
269,8,Maruti,525000,20000,1,0,0,0,20.85,1197,83.14,115Nm@ 4000rpm,5
270,12,Toyota,480000,120000,0,0,0,0,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),7
271,6,Mahindra,780000,35000,0,0,0,0,16.55,2498,105.0,247Nm@ 1800-2000rpm,6
272,11,Maruti,320000,193000,0,0,0,0,19.3,1248,73.9,190Nm@ 2000rpm,5
273,9,Maruti,375000,80000,1,0,0,0,20.4,1197,81.8,113Nm@ 4200rpm,5
274,4,Datsun,300000,40000,1,0,0,0,19.02,1198,67.05,104Nm@ 4000rpm,5
275,8,Hyundai,500000,70000,0,0,0,3,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
276,12,Mahindra,404000,122358,0,0,0,0,12.05,2179,120.0,290Nm@ 1800-2800rpm,9
277,8,Tata,500000,75000,0,0,0,0,14.07,2956,69.01,223Nm@ 1600-2200rpm,7
278,6,Tata,350000,120000,0,0,0,0,27.28,1047,69.0,140Nm@ 1800-3000rpm,5
279,8,Tata,380000,40000,1,0,0,0,17.57,1193,88.7,140Nm@ 1500-4000rpm,5
280,15,Hyundai,114999,95200,1,0,0,2,13.2,1495,94.0,"12.5@ 3,500(kgm@ rpm)",5
281,9,Honda,335000,33033,1,1,0,0,19.4,1198,86.8,109Nm@ 4500rpm,5
282,8,Hyundai,465000,63063,1,1,1,0,18.9,1197,82.0,114Nm@ 4000rpm,5
283,11,Tata,290000,60000,0,0,0,0,21.02,1248,88.76,200Nm@ 1750-3000rpm,5
